NodeId:0	1.0,0.0,1,2
NodeId:1	1.0,0.0,0,2,175,180,182,239,246,249,257,261,285,289,452,566,994
NodeId:2	1.0,0.0,0,1,12,46,48,52,65,79,182,188,244,246,250,254,259,349,379,527,528,565,836,937,963,991
NodeId:3	1.0,0.0,4,5,6,7,8,9
NodeId:4	1.0,0.0,3,5,6,7,8,9,76,83,86,87,331,435
NodeId:5	1.0,0.0,3,4,6,7,8,9,76,83,86,119,280,431,554
NodeId:6	1.0,0.0,3,4,5,7,8,9,76,83,567,582
NodeId:7	1.0,0.0,3,4,5,6,8,9,16,19,20,21,22,24,26,27,29,30,36,37,43,48,71,76,83,84,91,93,103,133,134,135,191,193,305,310,318,324,422,449,540,542,614,776
NodeId:8	1.0,0.0,3,4,5,6,7,9,135
NodeId:9	1.0,0.0,3,4,5,6,7,8
